id,nombre,id_ciudad,direccion,telefono,estado,id_consultor_mac,id_almacenista_mac,id_secretaria_mac,id_jefe_mac,id_user_mac,id_torre_mac,codigo_distribuidor,codigo_instalador,numero_contrato_inicial,numero_contrato_final,meta_prepago,meta_postpago,tipo_sede,id_sede_padre,sub_canal
305,SERVIMERCADEO CALL CENTER BARRANCABERMEJA,849,BARRANCABERMEJA,3401222,Inactiva,0,0,0,0,35,0,33161,I004552,,,0,0,Secundaria,20,0
306,SERVIMERCADEO CALL CENTER PASTO,713,PASTO,3401222,Inactiva,0,0,0,0,35,0,33164,I004332,,,0,0,Secundaria,6,Call center
307,SERVIMERCADEO CALL CENTER POPAYAN,361,POPAYAN,3401222,Inactiva,0,0,0,0,35,0,33165,I004324,,,0,0,Secundaria,7,Call center
308,SERVIMERCADEO CALL CENTER TULUA,1038,TULUA,3401222,Inactiva,0,0,0,0,35,0,33166,I004283,,,0,0,Secundaria,2,Call center
309,CALL CENTER SERVIMERCADEO ZONA NORTE,1,NORTE,3401222,Inactiva,0,0,0,0,35,0,33167,I004213,,,0,0,Secundaria,14,Call center
310,CALL CENTER SERVIMERCADEO ZONA SUR,1,SUR,3401222,Inactiva,0,0,0,0,35,0,33168,I004213,,,0,0,Secundaria,14,Call center
311,SERVIMERCADEO CALL CENTER CALDAS,318,MANIZALES,3401222,Inactiva,0,0,0,0,35,0,33170,I004219,,,0,0,Secundaria,4,Call center
312,SERVIMERCADEO CALL CENTER QUINDIO,817,ARMENIA,3401222,Inactiva,0,0,0,0,35,0,33171,I004218,,,0,0,Secundaria,5,Call center
313,SERVIMERCADEO CALL CENTER MONTERIA,427,MONTERIA,3401222,Inactiva,0,0,0,0,35,0,33172,I004412,,,0,0,Secundaria,11,Call center
314,SERVIMERCADEO CALL CENTER SINCELEJO,427,SUCRE,3401222,Inactiva,0,0,0,0,35,0,33173,I004412,,,0,0,Secundaria,11,Call center
